stu_id,bynels2m,bynels2r,amind,asian,black,white,hispanic,urm,byses1,byincome,bypared,byrace,bypared_nohs,bypared_hs,bypared_attend2,bypared_grad2yr,bypared_4yrgrad,bypared_masters,bypared_phd,female,bydob_p,f1psepln,p_noplan,p_dontknow,p_votech,p_cc,p_fouryr,p_earlygrad,f2evratt,f2ps1sec
409107,34.709999084472656,17.739999771118164,0,0,1,0,0,1,-0.1599999964237213,8,3,3,0,0,1,0,0,0,0,1,198612,5,0,0,0,0,1,0,1,2
275216,21.760000228881836,12.069999694824219,0,0,0,1,0,0,-1.3600000143051147,6,2,7,0,1,0,0,0,0,0,1,198603,4,0,0,0,1,0,0,0,-3
445118,24.860000610351563,33.029998779296875,0,0,0,1,0,0,0.3499999940395355,9,6,7,0,0,0,0,1,0,0,1,198602,4,0,0,0,1,0,0,1,4
455127,53.540000915527344,37.40999984741211,0,0,0,0,1,1,-0.2800000011920929,7,6,5,0,0,0,0,1,0,0,1,198511,5,0,0,0,0,1,0,1,1
392202,48.779998779296875,29.959999084472656,0,0,0,1,0,0,-0.10999999940395355,10,6,7,0,0,0,0,1,0,0,0,198608,5,0,0,0,0,1,0,1,2
127211,65.2699966430664,44.630001068115234,0,0,0,1,0,0,0.8600000143051147,12,6,7,0,0,0,0,1,0,0,1,198608,5,0,0,0,0,1,0,1,1
396109,53.09000015258789,33.869998931884766,0,0,1,0,0,1,0.7300000190734863,10,7,3,0,0,0,0,0,1,0,1,198512,5,0,0,0,0,1,0,1,1
358112,44.29999923706055,25.350000381469727,0,0,1,0,0,1,-0.4000000059604645,8,5,3,0,0,0,0,0,0,0,0,198602,5,0,0,0,0,1,0,1,3
376122,46.959999084472656,23.940000534057617,0,0,1,0,0,1,0.05999999865889549,9,6,3,0,0,0,0,1,0,0,1,198503,NA,NA,NA,NA,NA,NA,NA,0,-3
425310,58.959999084472656,42.58000183105469,0,0,0,1,0,0,0.3100000023841858,9,6,7,0,0,0,0,1,0,0,0,198604,5,0,0,0,0,1,0,1,2
154112,33.209999084472656,27.209999084472656,0,0,0,1,0,0,-0.20999999344348907,9,3,7,0,0,1,0,0,0,0,1,198512,5,0,0,0,0,1,0,1,2
153216,48.70000076293945,22.149999618530273,0,0,0,1,0,0,-0.5,10,2,7,0,1,0,0,0,0,0,0,198602,5,0,0,0,0,1,0,1,1
